name,firm,twitter_handle,profileImageNameInBlob,gameImageNameInBlob
David Skok,Matrix Partners,BostonVC,vcsnap1.png,vc1.png
Terry McGuire,Polaris,NA,vcsnap2.png,vc2.png
Sean Dalton,Highland,daltonsean,vcsnap3.png,vc3.png
Joel Cutler,General Catalyst,NA,vcsnap4.png,vc4.png
Neeraj Agrawl,Battery Ventures,NA,vcsnap5.png,vc5.png
Rich Levandov,Avalon Ventures,NA,vcsnap6.png,vc6.png
Chris Gabrieli,Bessemer Venture Partners,NA,vcsnap7.png,vc7.png
Ben Nye,Bain Capital Ventures,NA,vcsnap8.png,vc8.png
Bruce Sachs,Charles River Ventures,NA,vcsnap9.png,vc9.png
Ed Anderson,North Bridge,NA,vcsnap10.png,vc10.png
Tim Barrows,Matrix Partners,NA,vcsnap11.png,vc11.png
Michael Krupka,Bain Capital Ventures,NA,vcsnap12.png,vc12.png
Amir Nashat,Polaris,NA,vcsnap13.png,vc13.png
Jim Wade,Mc Venture Partners,NA,vcsnap14.png,vc14.png
Bijan Sabet,Spark Capital,bijan,vcsnap15.png,vc15.png
Jeff Clavier,SoftTech VC,jeff,Jeff_Clavier_p.png,Jeff_Clavier_g.png
Andy Sack,Lighter Capital,AndySack,Andy_Sack_p.png,Andy_Sack_g.png
Jim Breyer,Accel Partners,jimihendrixlive,Jim_Breyer_p.png,Jim_Breyer_g.png
Michael Mortiz,Sequoia Capita,NA,Michael_Mortiz_p.png,Michael_Mortiz_g.png
Reid Hoffman,Greylock Partners,quixotic,Reid_Hoffman_p.png,Reid_Hoffman_g.png
